release_year,id_all,popularity_all,duration_ms_all,explicit_all,danceability_all,energy_all,loudness_all,mode_all,speechiness_all,acousticness_all,instrumentalness_all,liveness_all,valence_all,tempo_all,popularity_pop,duration_ms_pop,explicit_pop,danceability_pop,energy_pop,loudness_pop,mode_pop,speechiness_pop,acousticness_pop,instrumentalness_pop,liveness_pop,valence_pop,tempo_pop,popularity_leastpop,duration_ms_leastpop,explicit_leastpop,danceability_leastpop,energy_leastpop,loudness_leastpop,mode_leastpop,speechiness_leastpop,acousticness_leastpop,instrumentalness_leastpop,liveness_leastpop,valence_leastpop,tempo_leastpop
2010,9597,37.36417631,250525.8432,0.06074815,0.598077566,0.651993476,-7.258949463,0.638220277,0.078288788,0.305219581,0.057110914,0.209047421,0.553151882,121.8473364,75.25,228138.74,0.22,0.63951,0.728369,-5.46957,0.62,0.09489,0.170135995,0.027476373,0.182088,0.560004,121.65681,0,242770.78,0.02,0.50301,0.352457,-13.29653,0.6,0.084742,0.606654998,0.186715715,0.188239,0.313157,107.86553
2011,9689,37.05098565,244701.9164,0.071730829,0.588243028,0.658419508,-7.297344824,0.625864382,0.078390752,0.304032545,0.075008775,0.206537548,0.540813419,122.9977717,74.86,236083.21,0.25,0.63252,0.70333,-5.95431,0.64,0.091325,0.19217663,0.017117404,0.16091,0.532219,124.65106,0,158673.56,0,0.561,0.282062,-14.80529,0.99,0.03666,0.72487,0.003960796,0.186074,0.66047,112.88931
2012,9744,37.05582923,237063.2004,0.067939245,0.591974015,0.675345392,-7.04517929,0.624692118,0.079886689,0.278499412,0.08854932,0.210980419,0.538895386,122.5076331,76.33,226096.06,0.17,0.62246,0.71588,-5.45894,0.67,0.069395,0.145616551,0.02117392,0.173736,0.545859,117.746,0,288220.56,0.01,0.539684,0.597794,-11.42413,0.7,0.078165,0.265892468,0.491799293,0.226698,0.400502,121.39117
2013,10557,36.07170598,241716.1882,0.072463768,0.591019238,0.677662808,-7.239631808,0.616557734,0.082488415,0.272937607,0.113894481,0.209296145,0.5163034,123.1515281,76.72,237342.53,0.17,0.5967,0.661949,-6.46283,0.57,0.077536,0.18214933,0.067295823,0.173247,0.469821,121.56872,0,322462.53,0.08,0.531139,0.572625,-12.28811,0.73,0.059478,0.337300914,0.341127782,0.227556,0.385888,123.41601
2014,11252,36.80003555,235323.0011,0.084162815,0.598887887,0.669773357,-7.107159083,0.619445432,0.083374769,0.286851879,0.094891099,0.214489273,0.527907663,122.5833005,76.91,229167.5,0.19,0.63239,0.63646,-6.42359,0.61,0.079271,0.234200025,0.023091795,0.176762,0.482281,126.25185,0,329104.35,0.01,0.527016,0.722148,-8.62869,0.52,0.063261,0.200934741,0.533192525,0.234138,0.455901,128.86335
2015,10591,37.81899726,230674.281,0.100084978,0.59579238,0.646078641,-7.573671797,0.614483996,0.085055,0.30030478,0.101745419,0.208545463,0.508667258,121.2592404,77.96,225254.33,0.29,0.62017,0.615275,-6.73827,0.69,0.072399,0.246214221,0.026498941,0.169658,0.419498,117.24903,0,352875.58,0.03,0.50942,0.4326839,-13.85758,0.67,0.065876,0.452219226,0.364981358,0.187499,0.366391,118.53837
2016,11083,39.28033926,230114.1854,0.12415411,0.604140368,0.659437038,-7.254573762,0.591897501,0.095102301,0.280668731,0.086585243,0.210165244,0.494954336,121.401084,78.8,219320.42,0.34,0.63711,0.582846,-6.78836,0.59,0.088227,0.2761685,0.022203196,0.174286,0.427483,118.60272,0,395709.35,0.04,0.54277,0.5964121,-10.5429,0.59,0.073739,0.276961334,0.422435461,0.195678,0.369039,122.15696
2017,9889,42.23622206,229758.4534,0.170998079,0.624972181,0.659730014,-7.215648296,0.583274345,0.100517059,0.278546715,0.08922785,0.200736495,0.493965494,121.3356233,80.46,208336.42,0.34,0.64359,0.605044698,-7.03608,0.57,0.09881,0.27518952,0.036493549,0.150763,0.436656,117.63609,0,318348.22,0.19,0.574455,0.7481284,-8.3606,0.52,0.091712,0.12664584,0.385624433,0.199597,0.427321,120.14277
2018,10936,42.13953914,220775.3616,0.189923189,0.634509748,0.652202026,-7.39011677,0.566843453,0.108212253,0.278446395,0.098398077,0.198215563,0.483251021,121.6840547,81.73,203043.57,0.49,0.68682,0.57829,-6.71521,0.65,0.107025,0.2852482,0.005785764,0.163888,0.420283,119.13158,0,290670.42,0.1,0.62714,0.662617,-10.33672,0.72,0.113975,0.246535279,0.462965811,0.200922,0.508808,118.61454
2019,11907,44.92055094,216802.3526,0.214915596,0.649724103,0.637065529,-7.43402024,0.567565298,0.111168246,0.293901519,0.081428021,0.189971076,0.49421166,122.0237481,83.71,198308.12,0.37,0.67869,0.574048,-6.95496,0.61,0.115372,0.3123776,0.024264374,0.161836,0.464287,115.0289,0,232833.63,0.15,0.540027,0.5147028,-12.68482,0.59,0.112001,0.381301484,0.448003576,0.172214,0.447565,113.2263
