artist,num_solos,solo_avgpop,num_collabs,collab_avgpop,totalsongs,wt_avg_pop
Bruno Mars,20,78.45,7,76,27,77.81481481
Drake,9,78,16,76.875,25,77.28
Rihanna,11,76.90909091,9,77.55555556,20,77.2
One Direction,19,78.47368421,0,0,19,78.47368421
Ed Sheeran,14,79.14285714,2,82,16,79.5
Calvin Harris,3,80.66666667,12,77.08333333,15,77.8
Justin Bieber,4,79.25,10,77.5,14,78
Ariana Grande,7,80.71428571,6,76.66666667,13,78.84615385
Post Malone,7,82.14285714,6,83,13,82.53846154
The Weeknd,8,79.625,5,80.2,13,79.84615385
Imagine Dragons,11,79.36363636,1,78,12,79.25
Nicki Minaj,3,77,9,76,12,76.25
Taylor Swift,11,77,1,80,12,77.25
Billie Eilish,10,82.1,1,89,11,82.72727273
Kanye West,5,78,6,76.5,11,77.18181818
Katy Perry,8,74.625,3,75.66666667,11,74.90909091
Kendrick Lamar,6,76.5,5,77.8,11,77.09090909
XXXTENTACION,9,84.22222222,2,83.5,11,84.09090909
Frank Ocean,10,77,0,0,10,77
Travis Scott,6,83.16666667,4,80.25,10,82
Adele,9,77.22222222,0,0,9,77.22222222
Pitbull,0,0,9,78.11111111,9,78.11111111
Chris Brown,1,71,7,75.57142857,8,75
Harry Styles,8,84.875,0,0,8,84.875
Juice WRLD,7,83.57142857,1,83,8,83.5
Khalid,3,81,5,82,8,81.625
Maroon 5,5,81.4,3,79,8,80.5
Sam Smith,4,81.75,4,77.25,8,79.5
Arctic Monkeys,7,79.85714286,0,0,7,79.85714286
Bad Bunny,1,81,6,80.5,7,80.57142857
